Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
442,1,1,1,1,5,5,5,5,5,5,5,3,5,4,0,0.0,satisfied
2110,2,2,5,2,5,5,5,5,4,2,5,3,4,5,0,0.0,satisfied
697,1,5,1,1,5,5,4,2,2,1,2,3,2,5,0,4.0,neutral or dissatisfied
2318,1,1,1,1,2,2,1,4,4,4,4,2,4,2,0,0.0,satisfied
399,4,5,5,5,4,4,4,4,4,3,1,5,5,4,0,0.0,satisfied
2927,2,2,2,2,4,2,5,4,4,4,4,2,4,2,1,0.0,satisfied
697,2,2,2,2,5,5,5,5,3,4,5,5,5,5,2,2.0,satisfied
2053,5,5,5,5,4,4,4,4,5,2,5,3,4,4,41,31.0,satisfied
3784,3,3,3,3,3,1,1,3,5,3,4,1,4,1,239,226.0,neutral or dissatisfied
3699,2,4,2,2,4,2,3,5,5,5,5,2,5,5,0,0.0,satisfied
569,3,4,2,3,4,2,4,4,2,5,4,3,3,4,0,0.0,neutral or dissatisfied
2141,5,5,5,5,5,4,5,5,5,5,5,5,5,5,0,5.0,satisfied
1127,2,2,2,2,4,4,4,4,4,2,5,3,4,4,0,0.0,satisfied
761,2,2,2,1,2,2,2,2,5,3,5,4,5,2,0,0.0,neutral or dissatisfied
173,2,4,0,3,5,4,4,1,1,0,4,3,1,3,52,58.0,neutral or dissatisfied
528,1,3,1,3,5,1,5,5,4,2,4,1,4,5,0,20.0,neutral or dissatisfied
119,3,2,3,3,3,3,1,3,1,1,3,3,3,3,0,0.0,neutral or dissatisfied
954,5,3,3,3,5,5,5,5,4,2,4,4,3,5,0,0.0,satisfied
806,3,5,3,4,1,5,4,4,4,3,4,3,4,4,26,21.0,neutral or dissatisfied
680,4,4,4,3,4,4,4,4,2,1,2,2,3,4,0,8.0,satisfied
1258,4,4,4,4,4,4,5,3,3,3,3,3,3,3,0,0.0,satisfied
296,5,5,5,5,5,5,4,5,5,5,5,4,5,5,19,6.0,satisfied
3910,1,1,5,1,5,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
1224,2,3,3,3,2,2,2,2,2,2,2,1,2,2,0,2.0,neutral or dissatisfied
507,2,4,4,5,2,5,5,2,2,4,2,4,2,3,0,0.0,neutral or dissatisfied
1892,4,3,4,4,3,4,3,3,2,5,3,2,4,3,80,,neutral or dissatisfied
3793,2,5,5,5,2,3,3,2,2,2,2,3,2,4,111,112.0,neutral or dissatisfied
867,4,4,4,2,4,4,4,4,4,3,4,3,5,4,7,0.0,satisfied
507,5,4,2,4,2,2,2,2,5,2,4,4,5,2,35,38.0,satisfied
1643,3,3,3,3,1,3,3,3,3,3,3,2,3,3,18,34.0,neutral or dissatisfied
227,3,4,3,3,1,3,1,1,4,4,3,3,4,1,0,0.0,neutral or dissatisfied
1532,2,3,3,3,1,4,4,3,3,3,2,4,3,1,0,14.0,neutral or dissatisfied
323,4,3,4,4,4,4,4,4,2,4,3,1,4,4,0,0.0,neutral or dissatisfied
337,1,5,1,3,2,1,2,2,5,4,2,1,3,2,3,0.0,neutral or dissatisfied
3529,5,5,5,5,2,5,5,4,4,4,4,5,4,5,0,2.0,satisfied
1947,3,4,3,1,3,3,3,3,4,4,5,4,5,3,0,6.0,neutral or dissatisfied
762,2,2,2,3,4,2,4,4,4,3,5,2,1,4,12,41.0,neutral or dissatisfied
3449,4,2,4,4,5,4,5,5,5,5,5,3,5,4,9,9.0,satisfied
196,3,3,3,3,5,3,5,5,1,3,5,1,1,5,0,0.0,neutral or dissatisfied
995,1,1,1,4,5,1,5,5,3,1,3,1,3,5,15,10.0,neutral or dissatisfied
601,3,2,2,2,2,3,4,3,3,3,3,3,3,2,18,21.0,neutral or dissatisfied
349,3,3,3,3,5,3,5,5,4,1,2,2,2,5,14,13.0,neutral or dissatisfied
2243,1,1,1,1,3,3,1,5,5,5,5,3,5,4,0,0.0,satisfied
1927,2,3,2,2,3,4,4,4,4,4,4,3,4,3,0,0.0,satisfied
196,4,4,4,4,1,1,3,4,4,4,3,1,4,3,0,0.0,satisfied
429,3,4,4,4,3,3,3,3,2,4,4,2,3,3,22,29.0,neutral or dissatisfied
382,3,4,3,1,3,5,4,1,1,3,1,4,1,3,34,14.0,neutral or dissatisfied
888,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,0.0,satisfied
1042,2,5,2,3,2,4,5,3,3,2,2,4,3,4,58,43.0,neutral or dissatisfied
631,4,0,4,4,2,4,2,2,4,2,4,5,4,2,0,0.0,satisfied
255,5,5,5,5,4,4,5,5,5,5,5,5,5,3,75,72.0,satisfied
1041,3,5,3,3,3,3,3,3,3,4,5,5,5,3,0,0.0,neutral or dissatisfied
1744,4,4,4,4,3,4,3,3,1,4,2,3,4,3,9,0.0,neutral or dissatisfied
1310,0,0,0,1,1,0,1,1,5,4,4,5,4,1,2,0.0,satisfied
164,2,5,3,4,5,3,5,5,3,2,4,3,4,5,0,0.0,neutral or dissatisfied
512,4,5,4,3,3,2,3,3,3,4,2,1,3,4,0,0.0,neutral or dissatisfied
460,3,5,3,3,3,3,3,3,5,3,5,5,5,3,0,0.0,neutral or dissatisfied
325,4,5,4,3,4,4,4,4,1,2,2,4,3,4,0,4.0,satisfied
543,3,2,3,4,5,3,4,5,1,4,4,2,3,5,12,9.0,neutral or dissatisfied
404,4,2,3,4,3,3,3,3,2,3,4,2,3,3,15,0.0,neutral or dissatisfied
347,1,1,1,1,2,5,3,5,5,5,5,3,5,4,0,0.0,satisfied
604,3,4,3,2,3,3,3,3,4,5,5,4,4,3,0,0.0,neutral or dissatisfied
1590,1,1,1,1,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
1931,1,1,1,1,4,4,4,5,5,5,5,3,5,4,0,0.0,satisfied
2574,5,5,5,5,4,5,3,4,4,4,4,4,4,5,0,0.0,satisfied
404,2,2,2,1,1,2,2,1,3,5,4,5,4,1,0,0.0,neutral or dissatisfied
280,3,1,2,4,5,2,5,5,2,3,3,3,3,5,0,0.0,neutral or dissatisfied
1460,3,3,3,3,1,3,1,1,4,4,5,4,5,1,7,25.0,neutral or dissatisfied
2153,3,3,3,3,4,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
3615,2,2,2,2,3,5,4,5,5,5,5,3,5,4,0,0.0,satisfied
3616,4,2,2,2,4,4,4,4,4,4,4,4,4,2,42,23.0,neutral or dissatisfied
813,5,5,5,4,3,5,3,3,4,4,4,4,5,3,0,0.0,satisfied
3303,5,5,5,5,2,1,4,4,4,4,4,2,4,3,33,,satisfied
451,4,1,1,1,4,4,4,4,3,4,4,1,5,4,0,0.0,satisfied
189,3,4,3,1,3,3,5,3,4,4,2,1,4,3,12,7.0,neutral or dissatisfied
1416,2,2,2,4,2,2,5,2,1,2,3,4,4,2,0,0.0,neutral or dissatisfied
2119,0,4,1,4,5,2,4,4,4,4,4,5,4,3,0,0.0,satisfied
525,1,5,1,2,3,1,3,3,3,4,4,3,2,3,0,0.0,neutral or dissatisfied
337,2,4,4,4,1,3,3,2,2,2,2,4,2,1,109,120.0,neutral or dissatisfied
1337,1,1,1,1,5,4,5,2,2,2,2,3,2,4,0,2.0,satisfied
787,3,4,3,3,5,3,5,5,5,2,5,4,5,5,91,75.0,neutral or dissatisfied
503,3,5,3,1,1,3,2,1,4,5,5,5,4,1,0,0.0,neutral or dissatisfied
316,3,5,3,2,1,3,1,1,1,4,1,3,2,1,0,0.0,neutral or dissatisfied
1449,4,4,3,2,3,3,3,3,2,5,3,3,4,3,137,112.0,neutral or dissatisfied
2279,1,3,3,3,3,3,3,1,1,1,1,2,1,2,0,1.0,neutral or dissatisfied
1919,4,4,3,4,4,4,4,4,4,4,4,5,4,4,2,0.0,satisfied
383,0,5,0,1,1,0,1,1,4,4,5,5,5,1,0,0.0,satisfied
528,1,3,1,5,1,1,1,1,2,1,5,5,3,1,20,8.0,neutral or dissatisfied
1028,4,4,4,4,4,5,5,3,4,5,5,5,5,5,187,197.0,neutral or dissatisfied
3101,2,4,4,4,2,3,2,2,2,1,2,3,2,2,0,0.0,neutral or dissatisfied
134,2,2,2,2,2,2,2,2,3,4,3,2,1,2,143,159.0,neutral or dissatisfied
657,3,1,3,3,2,4,4,1,1,3,1,2,1,4,0,0.0,neutral or dissatisfied
365,3,5,3,2,3,5,5,4,2,4,5,5,3,5,174,188.0,neutral or dissatisfied
554,4,4,4,4,4,4,2,4,2,5,3,4,2,4,0,0.0,satisfied
1776,4,4,4,4,5,5,5,4,4,4,4,3,4,4,0,0.0,satisfied
866,0,0,0,2,3,0,3,3,1,2,3,2,1,3,0,0.0,satisfied
1072,3,2,3,4,1,3,4,1,3,3,3,1,4,1,0,0.0,neutral or dissatisfied
2128,1,1,1,1,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
3982,3,3,5,3,3,3,3,3,1,5,3,3,4,3,8,9.0,neutral or dissatisfied
1684,2,1,2,2,5,5,5,5,4,4,5,5,4,5,0,0.0,satisfied
312,2,5,2,5,2,2,2,2,4,3,4,3,5,2,0,22.0,neutral or dissatisfied
1851,1,1,1,1,5,5,5,3,2,5,4,5,4,5,153,149.0,satisfied
1123,4,4,1,4,5,4,4,5,5,5,5,4,5,3,0,22.0,satisfied
1050,3,5,3,1,3,3,3,3,5,5,5,4,4,3,17,16.0,neutral or dissatisfied
436,2,4,2,3,2,2,2,2,2,1,4,2,3,2,11,1.0,neutral or dissatisfied
1721,1,1,1,1,4,5,4,4,2,3,4,5,5,4,0,0.0,satisfied
628,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,10.0,satisfied
471,2,2,2,3,5,2,5,5,3,3,4,1,4,5,0,0.0,neutral or dissatisfied
1778,1,1,4,1,3,5,5,2,2,3,2,5,2,3,0,0.0,satisfied
2640,2,4,4,4,2,2,2,2,1,2,1,4,3,2,28,0.0,neutral or dissatisfied
2677,5,2,5,3,5,5,5,3,3,2,2,5,1,5,7,53.0,satisfied
2153,4,4,4,4,4,4,4,5,5,5,5,4,5,5,0,7.0,satisfied
594,4,4,4,4,2,5,5,5,5,5,5,3,5,4,0,0.0,satisfied
1464,4,4,4,4,2,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
433,4,5,4,3,2,4,4,2,4,2,5,5,5,2,0,0.0,neutral or dissatisfied
109,3,1,3,3,2,3,2,2,1,4,2,2,3,2,71,83.0,neutral or dissatisfied
957,1,5,0,3,3,5,5,5,5,0,5,4,5,4,24,42.0,neutral or dissatisfied
483,5,5,5,5,3,3,3,3,3,2,5,4,5,3,28,35.0,satisfied
1915,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
386,4,5,4,1,3,5,4,2,2,4,2,3,2,5,0,0.0,neutral or dissatisfied
550,2,3,2,3,1,2,1,1,3,1,4,3,4,1,0,0.0,neutral or dissatisfied
678,4,4,4,4,2,4,2,2,2,1,4,2,5,2,0,0.0,neutral or dissatisfied
2384,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
402,1,4,5,2,3,5,3,3,3,2,5,4,5,3,19,17.0,neutral or dissatisfied
272,3,3,3,3,4,4,5,5,5,5,5,4,5,5,0,10.0,satisfied
328,2,3,2,2,2,2,2,2,5,5,3,2,1,2,7,7.0,neutral or dissatisfied
455,1,4,1,4,4,1,4,4,5,2,4,4,4,4,15,8.0,neutral or dissatisfied
447,1,5,1,4,2,1,2,2,4,5,4,3,5,2,0,0.0,neutral or dissatisfied
1416,4,1,4,2,5,4,4,5,4,4,2,2,1,5,23,10.0,neutral or dissatisfied
746,1,1,1,5,5,1,5,5,4,2,4,4,4,5,9,5.0,neutral or dissatisfied
2340,3,3,3,3,4,4,3,2,2,2,2,5,2,5,0,20.0,satisfied
262,4,4,4,2,1,4,4,1,1,5,3,3,5,1,0,0.0,neutral or dissatisfied
590,2,5,5,5,5,3,4,2,2,2,2,4,2,5,68,66.0,satisfied
325,2,1,1,1,3,3,4,2,2,2,2,3,2,4,74,72.0,neutral or dissatisfied
581,4,2,3,4,1,3,1,1,1,3,4,4,4,1,0,0.0,neutral or dissatisfied
224,2,4,0,4,5,5,5,5,5,0,5,4,5,3,0,0.0,neutral or dissatisfied
2342,1,3,1,1,4,4,4,3,1,4,2,4,1,4,46,48.0,satisfied
231,4,4,4,3,5,4,5,5,3,2,1,5,1,5,0,0.0,satisfied
733,3,3,3,3,5,5,4,2,2,2,2,4,2,4,122,114.0,satisfied
1814,3,4,2,1,3,2,3,3,5,3,4,4,4,3,16,56.0,neutral or dissatisfied
937,1,1,1,1,5,4,4,4,4,4,4,4,4,4,0,6.0,satisfied
870,3,3,3,1,3,2,5,5,5,3,3,5,4,5,118,153.0,neutral or dissatisfied
387,1,5,1,2,3,1,3,3,4,4,5,5,5,3,0,0.0,neutral or dissatisfied
3345,3,3,3,3,3,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
896,1,2,1,4,3,1,4,3,4,5,4,4,4,3,4,8.0,neutral or dissatisfied
436,2,4,2,1,4,2,4,4,5,2,5,4,4,4,8,4.0,neutral or dissatisfied
290,1,1,1,3,4,1,4,4,1,5,3,3,4,4,0,0.0,neutral or dissatisfied
156,4,4,4,1,2,4,2,2,3,4,5,5,5,2,0,0.0,neutral or dissatisfied
209,4,0,4,4,4,4,1,4,2,3,4,1,3,4,0,0.0,neutral or dissatisfied
212,3,2,2,2,3,3,3,3,2,3,4,4,3,3,0,8.0,neutral or dissatisfied
2306,1,5,1,3,1,4,4,3,3,5,4,4,4,4,194,205.0,neutral or dissatisfied
1759,4,4,3,4,4,4,4,5,5,5,5,4,5,3,12,6.0,satisfied
101,5,5,5,5,2,5,2,5,5,5,5,2,5,2,0,0.0,satisfied
3958,4,4,4,4,4,4,5,2,2,2,2,3,2,4,0,0.0,satisfied
209,4,4,4,4,5,3,4,1,1,4,1,4,1,4,5,2.0,neutral or dissatisfied
854,1,3,1,2,3,1,3,3,2,2,3,3,2,3,34,19.0,neutral or dissatisfied
1747,4,4,4,3,5,4,5,5,3,2,4,2,3,5,127,123.0,satisfied
633,1,1,3,1,1,2,3,4,4,4,4,1,4,5,0,0.0,satisfied
1197,4,5,4,2,4,4,4,4,4,3,4,3,4,4,0,0.0,neutral or dissatisfied
447,4,4,4,4,1,4,1,1,4,1,3,3,4,1,27,17.0,neutral or dissatisfied
679,3,4,1,4,3,3,3,3,4,1,4,1,4,3,16,9.0,neutral or dissatisfied
1854,0,4,0,1,3,5,5,2,2,2,2,4,2,3,0,0.0,satisfied
1566,4,5,5,5,1,1,4,1,4,3,3,3,3,1,79,115.0,neutral or dissatisfied
125,3,4,3,4,5,3,5,5,2,5,3,1,2,5,60,56.0,neutral or dissatisfied
409,2,4,2,2,1,2,1,1,2,3,4,1,5,1,108,98.0,neutral or dissatisfied
214,5,5,5,1,1,5,1,1,3,3,5,3,5,1,0,0.0,satisfied
731,3,5,3,1,1,3,1,1,4,2,5,5,4,1,17,8.0,neutral or dissatisfied
3744,2,2,2,2,2,4,4,3,3,4,3,4,3,4,7,1.0,satisfied
409,1,5,1,5,4,1,4,4,4,1,5,2,4,4,0,0.0,neutral or dissatisfied
312,1,3,3,3,4,3,4,1,1,1,1,3,1,3,0,0.0,neutral or dissatisfied
737,3,5,3,2,2,3,2,2,5,2,5,4,4,2,0,,neutral or dissatisfied
2058,1,1,1,1,3,5,3,4,4,4,4,4,4,1,0,0.0,satisfied
1670,1,1,1,1,5,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
695,5,4,4,4,5,5,5,5,3,4,3,3,3,5,0,4.0,satisfied
89,2,0,2,1,3,2,1,3,5,1,4,2,2,3,0,0.0,neutral or dissatisfied
345,3,5,3,4,2,3,2,2,4,5,4,4,4,2,0,0.0,neutral or dissatisfied
1005,3,4,2,3,2,2,2,2,5,3,5,4,5,2,0,0.0,neutral or dissatisfied
302,1,5,1,4,2,4,4,1,1,1,5,3,1,5,0,9.0,neutral or dissatisfied
2365,3,3,3,3,2,2,2,2,4,4,4,4,5,2,0,0.0,satisfied
921,2,4,2,1,3,2,3,3,4,5,5,3,4,3,11,2.0,neutral or dissatisfied
1189,4,1,5,1,2,5,5,4,4,4,4,4,4,1,92,92.0,satisfied
1608,3,5,3,5,3,3,3,3,5,5,5,3,5,3,71,40.0,neutral or dissatisfied
1744,1,1,1,1,3,4,5,5,5,5,5,3,5,4,34,33.0,satisfied
563,1,4,2,2,4,5,4,2,2,2,2,4,2,3,0,0.0,neutral or dissatisfied
1521,1,1,1,1,3,5,4,5,5,5,5,4,5,5,5,0.0,satisfied
302,4,4,4,3,2,4,1,2,2,2,4,3,4,2,6,0.0,neutral or dissatisfied
696,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,13.0,neutral or dissatisfied
793,4,4,4,4,4,4,4,4,4,4,4,5,4,4,6,0.0,satisfied
1020,3,4,3,3,2,3,2,2,5,3,4,3,4,2,7,0.0,neutral or dissatisfied
602,2,1,2,2,5,1,2,3,3,2,3,1,3,4,0,0.0,neutral or dissatisfied
488,3,0,3,2,3,4,5,5,5,3,5,3,5,3,5,0.0,neutral or dissatisfied
1061,3,3,2,3,2,5,4,5,5,4,5,5,5,4,0,9.0,satisfied
1744,3,3,3,3,5,3,4,5,5,5,5,3,5,5,0,0.0,satisfied
364,3,5,2,3,1,2,1,1,4,2,5,5,4,1,0,0.0,neutral or dissatisfied
507,3,5,3,1,3,1,1,5,4,4,5,1,3,1,153,144.0,neutral or dissatisfied
547,1,1,1,1,4,4,4,4,4,5,4,5,5,4,0,5.0,satisfied
2946,3,2,4,2,2,3,2,3,3,3,3,1,3,4,20,3.0,neutral or dissatisfied
247,2,2,2,4,4,2,5,4,2,1,4,2,3,4,22,28.0,neutral or dissatisfied
872,5,5,5,5,2,4,4,4,4,4,4,3,4,3,0,0.0,satisfied
430,3,0,3,2,5,3,2,5,2,2,2,1,4,5,0,0.0,neutral or dissatisfied
834,1,4,1,5,5,1,5,5,3,5,4,4,5,5,0,0.0,neutral or dissatisfied
214,0,5,0,4,2,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
200,2,5,2,2,4,2,5,4,4,3,5,5,2,4,0,0.0,neutral or dissatisfied
447,4,1,1,1,1,3,4,4,4,4,4,1,4,1,0,0.0,neutral or dissatisfied
522,4,5,5,5,4,3,3,4,4,4,4,2,4,3,0,0.0,neutral or dissatisfied
328,3,1,1,1,5,2,2,3,3,3,3,4,3,1,0,0.0,neutral or dissatisfied
406,2,1,2,4,1,2,1,1,3,3,4,4,3,1,0,1.0,neutral or dissatisfied
2486,3,3,3,3,4,4,5,5,5,4,5,3,5,5,0,0.0,satisfied
1023,0,0,0,2,4,0,4,4,2,5,5,4,5,4,112,97.0,satisfied
370,3,3,3,3,3,4,4,5,5,5,5,3,5,2,0,0.0,satisfied
2013,2,5,5,5,2,2,2,2,3,4,4,2,3,2,1,0.0,neutral or dissatisfied
414,3,1,3,4,2,3,2,2,1,2,3,1,3,2,12,7.0,neutral or dissatisfied
441,4,4,4,4,2,4,4,5,5,5,5,3,5,4,54,45.0,satisfied
100,4,2,4,4,4,4,4,4,3,3,3,1,4,4,126,123.0,neutral or dissatisfied
2139,3,3,3,2,2,3,5,2,1,5,2,3,2,2,21,1.0,neutral or dissatisfied
577,5,4,5,1,1,5,1,1,5,2,5,5,4,1,20,24.0,satisfied
812,3,3,3,4,5,3,3,5,4,4,4,3,3,5,0,0.0,neutral or dissatisfied
337,5,3,3,3,1,5,4,5,5,5,5,2,5,5,1,1.0,satisfied
1546,3,4,4,4,5,4,5,5,3,2,5,3,5,5,0,0.0,neutral or dissatisfied
187,5,4,4,4,5,5,5,5,4,2,3,5,4,5,0,0.0,satisfied
502,3,3,3,2,4,2,2,5,5,3,5,3,5,1,0,0.0,neutral or dissatisfied
1235,2,1,1,1,2,2,1,2,2,2,2,3,2,2,49,36.0,neutral or dissatisfied
628,4,4,4,3,4,4,5,4,5,2,5,3,5,4,15,19.0,neutral or dissatisfied
998,3,4,4,1,2,4,2,2,1,5,2,2,2,2,23,30.0,neutral or dissatisfied
493,1,1,3,2,2,3,2,2,4,3,2,4,2,2,0,0.0,neutral or dissatisfied
371,4,2,2,2,2,3,4,4,4,4,4,1,4,1,0,0.0,neutral or dissatisfied
2565,5,5,5,5,4,4,4,4,2,1,1,1,5,4,0,0.0,satisfied
321,4,4,4,1,4,4,4,4,3,3,5,5,5,4,0,0.0,satisfied
300,4,5,5,5,4,4,4,4,1,2,4,3,4,4,0,0.0,satisfied
216,2,2,2,3,1,2,1,1,1,2,1,3,3,1,1,0.0,neutral or dissatisfied
829,3,3,3,3,3,1,2,4,4,4,4,1,4,5,10,2.0,satisfied
480,4,3,2,3,4,4,4,4,4,5,3,1,4,4,27,21.0,neutral or dissatisfied
262,3,0,3,4,1,3,1,1,4,2,3,5,1,1,2,0.0,neutral or dissatisfied
2194,2,2,2,2,4,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
691,4,5,3,4,2,3,2,2,3,3,5,4,5,2,9,3.0,satisfied
2446,3,3,3,4,3,3,3,4,2,5,5,3,2,3,27,35.0,neutral or dissatisfied
643,2,0,2,3,1,2,1,1,5,3,1,3,4,1,53,46.0,neutral or dissatisfied
158,2,3,2,3,1,2,1,1,4,1,3,1,3,1,0,3.0,neutral or dissatisfied
547,2,4,4,4,2,2,3,2,3,3,3,4,3,2,0,5.0,neutral or dissatisfied
628,2,5,2,1,2,2,2,2,5,4,4,3,4,2,0,1.0,neutral or dissatisfied
1085,3,3,3,4,5,3,5,5,2,1,4,4,3,5,0,4.0,neutral or dissatisfied
756,3,5,3,1,5,3,5,5,3,5,4,5,4,5,20,6.0,neutral or dissatisfied
420,4,0,4,4,5,4,5,5,2,2,3,2,5,5,16,0.0,satisfied
468,1,1,1,1,2,1,1,3,3,5,3,2,3,5,1,12.0,satisfied
769,4,4,5,4,4,5,4,4,3,1,5,1,1,4,0,0.0,satisfied
